step,ip_before,ip_after,frame_depth,arithmetic_control,executed_instructions,procedure_calls,procedure_returns,maximum_local_frame_depth,instruction
0,0x0004bb18,0x0004bb1c,1,1056968708,5601754,8449,8448,4,"addo     4, sp, sp"
1,0x0004bb1c,0x0004bb24,1,1056968708,5601755,8449,8448,4,"st       r3, 0xfffffffc(sp)"
2,0x0004bb24,0x0004bb28,1,1056968708,5601756,8449,8448,4,"addo     16, sp, sp"
3,0x0004bb28,0x0004bb30,1,1056968708,5601757,8449,8448,4,"stq      r4, 0xfffffff0(sp)"
4,0x0004bb30,0x0004bb34,1,1056968708,5601758,8449,8448,4,"addo     16, sp, sp"
5,0x0004bb34,0x0004bb3c,1,1056968708,5601759,8449,8448,4,"stq      r8, 0xfffffff0(sp)"
6,0x0004bb3c,0x0004bb40,1,1056968708,5601760,8449,8448,4,"addo     16, sp, sp"
7,0x0004bb40,0x0004bb48,1,1056968708,5601761,8449,8448,4,"stq      r12, 0xfffffff0(sp)"
8,0x0004bb48,0x0004bb4c,1,1056968708,5601762,8449,8448,4,"addo     16, sp, sp"
9,0x0004bb4c,0x0004bb54,1,1056968708,5601763,8449,8448,4,"stq      g0, 0xfffffff0(sp)"
10,0x0004bb54,0x0004bb58,1,1056968708,5601764,8449,8448,4,"addo     16, sp, sp"
11,0x0004bb58,0x0004bb60,1,1056968708,5601765,8449,8448,4,"stq      g4, 0xfffffff0(sp)"
12,0x0004bb60,0x0004bb64,1,1056968708,5601766,8449,8448,4,"addo     16, sp, sp"
13,0x0004bb64,0x0004bb6c,1,1056968708,5601767,8449,8448,4,"stq      g8, 0xfffffff0(sp)"
14,0x0004bb6c,0x0004bb70,1,1056968708,5601768,8449,8448,4,"addo     4, sp, sp"
15,0x0004bb70,0x0004bb78,1,1056968708,5601769,8449,8448,4,"st       g12, 0xfffffffc(sp)"
16,0x0004bb78,0x0004bb7c,1,1056968708,5601770,8449,8448,4,"addo     4, sp, sp"
17,0x0004bb7c,0x0004bb84,1,1056968708,5601771,8449,8448,4,"st       g13, 0xfffffffc(sp)"
18,0x0004bb84,0x0004bb88,1,1056968708,5601772,8449,8448,4,"addo     4, sp, sp"
19,0x0004bb88,0x0004bb90,1,1056968708,5601773,8449,8448,4,"st       g14, 0xfffffffc(sp)"
20,0x0004bb90,0x0004bcd4,2,1056968708,5601774,8450,8448,4,"call     0x0004bcd4"
21,0x0004bcd4,0x0004bcdc,2,1056968708,5601775,8450,8448,4,"ldob     0x00500000, g0"
22,0x0004bcdc,0x0004bcf0,2,1056968708,5601776,8450,8448,4,"cmpobe   0, g0, 0x0004bcf0"
23,0x0004bcf0,0x0004bcf4,2,1056968708,5601777,8450,8448,4,"mov      0, g0"
24,0x0004bcf4,0x0004bcfc,2,1056968708,5601778,8450,8448,4,"stob     g0, 0x0050006d"
25,0x0004bcfc,0x0004bfe0,3,1056968708,5601779,8451,8448,4,"call     0x0004bfe0"
26,0x0004bfe0,0x0004bfe8,3,1056968708,5601780,8451,8448,4,"ld       0x00500068, r15"
27,0x0004bfe8,0x0004bfec,3,1056968708,5601781,8451,8448,4,"bbs      16, r15, 0x0004c0ec"
28,0x0004bfec,0x0004bff4,3,1056968708,5601782,8451,8448,4,"ldob     0x0050002b, r15"
29,0x0004bff4,0x0004bffc,3,1056968708,5601783,8451,8448,4,"lda      0x0000000c, r14"
30,0x0004bffc,0x0004c000,3,1056968708,5601784,8451,8448,4,"cmpobe   r14, r15, 0x0004c0b4"
31,0x0004c000,0x0004c008,3,1056968708,5601785,8451,8448,4,"lda      0x0000000d, r14"
32,0x0004c008,0x0004c00c,3,1056968708,5601786,8451,8448,4,"cmpobe   r14, r15, 0x0004c0b4"
33,0x0004c00c,0x0004c014,3,1056968708,5601787,8451,8448,4,"ldob     0x0050002b, r15"
34,0x0004c014,0x0004c01c,3,1056968708,5601788,8451,8448,4,"lda      0x000000c0, r14"
35,0x0004c01c,0x0004c020,3,1056968708,5601789,8451,8448,4,"bbs      r15, r14, 0x0004c0fc"
36,0x0004c020,0x0004c028,3,1056968708,5601790,8451,8448,4,"lda      0x0000c000, r14"
37,0x0004c028,0x0004c02c,3,1056968708,5601791,8451,8448,4,"bbs      r15, r14, 0x0004c0d8"
38,0x0004c02c,0x0004c034,3,1056968708,5601792,8451,8448,4,"lda      0x0000000c, r14"
39,0x0004c034,0x0004c038,3,1056968708,5601793,8451,8448,4,"bbs      r15, r14, 0x0004c11c"
40,0x0004c038,0x0004c040,3,1056968708,5601794,8451,8448,4,"lda      0x00000009, r14"
41,0x0004c040,0x0004c068,3,1056968708,5601795,8451,8448,4,"cmpobne  r15, r14, 0x0004c068"
42,0x0004c068,0x0004c070,3,1056968708,5601796,8451,8448,4,"lda      0x00003e80, r10"
43,0x0004c070,0x0004c078,3,1056968708,5601797,8451,8448,4,"lda      0x00004e20, r11"
44,0x0004c078,0x0004c10c,3,1056968708,5601798,8451,8448,4,"b        0x0004c10c"
45,0x0004c10c,0x0004c114,3,1056968708,5601799,8451,8448,4,"st       r10, 0x00550004"
46,0x0004c114,0x0004c11c,3,1056968708,5601800,8451,8448,4,"st       r11, 0x00550008"
47,0x0004c11c,0x0004bd00,2,1056968708,5601801,8451,8449,4,"ret      "
48,0x0004bd00,0x0004bd08,2,1056968708,5601802,8451,8449,4,"ld       0x0055000c, g0"
49,0x0004bd08,0x0004bd24,2,1056968708,5601803,8451,8449,4,"cmpobe   0, g0, 0x0004bd24"
50,0x0004bd24,0x0004bd2c,2,1056968708,5601804,8451,8449,4,"lda      0x00550168, r5"
51,0x0004bd2c,0x0004bd34,2,1056968708,5601805,8451,8449,4,"lda      0x005502a8, r6"
52,0x0004bd34,0x0004bd38,2,1056968708,5601806,8451,8449,4,"ldis     0x00000002(r5), r3"
53,0x0004bd38,0x0004bd48,2,1056968708,5601807,8451,8449,4,"cmpobne  0, r3, 0x0004bd48"
54,0x0004bd48,0x0004bd4c,2,1056968708,5601808,8451,8449,4,"ldos     (r5), g0"
55,0x0004bd4c,0x0004bd54,2,1056968708,5601809,8451,8449,4,"ld       0x00508000, r15"
56,0x0004bd54,0x0004bd58,2,1056968708,5601810,8451,8449,4,"bbs      9, r15, 0x0004bd5c"
57,0x0004bd58,0x0004d2c0,3,1056968708,5601811,8452,8449,4,"call     0x0004d2c0"
58,0x0004bd5c,0x0004bd60,2,1056968706,5602036,8454,8452,4,"cmpible  0, r3, 0x0004bde0"
59,0x0004bd60,0x0004bd64,2,1056968706,5602037,8454,8452,4,"ldos     0x0000001c(r5), g0"
60,0x0004bd64,0x0004bd6c,2,1056968706,5602038,8454,8452,4,"stos     g0, 0x0055c2f0"
61,0x0004bd6c,0x0004bd70,2,1056968706,5602039,8454,8452,4,"ldos     (r5), r3"
62,0x0004bd70,0x0004bd78,2,1056968706,5602040,8454,8452,4,"ld       0x0230000c, r4"
63,0x0004bd78,0x0004bd7c,2,1056968706,5602041,8454,8452,4,"ld       (r4)[r3*4], r10"
64,0x0004bd7c,0x0004bd84,2,1056968706,5602042,8454,8452,4,"ld       0x02300008, r9"
65,0x0004bd84,0x0004bd88,2,1056968706,5602043,8454,8452,4,"ld       (r10), r3"
66,0x0004bd88,0x0004bd8c,2,1056968706,5602044,8454,8452,4,"addo     4, r10, r10"
67,0x0004bd8c,0x0004bd90,2,1056968706,5602045,8454,8452,4,"ld       (r9)[r3*4], r9"
68,0x0004bd90,0x0004bd94,2,1056968706,5602046,8454,8452,4,"ld       (r9), r8"
69,0x0004bd94,0x0004bd98,2,1056968706,5602047,8454,8452,4,"addo     4, r9, r9"
70,0x0004bd98,0x0004bd9c,2,1056968706,5602048,8454,8452,4,"ld       0x00000010(r5), g0"
71,0x0004bd9c,0x0004bdb0,2,1056968706,5602049,8454,8452,4,"bbc      4, g0, 0x0004bdb0"
72,0x0004bdb0,0x0004bdb4,2,1056968706,5602050,8454,8452,4,"ld       0x00000010(r5), g0"
73,0x0004bdb4,0x0004bdb8,2,1056968706,5602051,8454,8452,4,"bbs      3, g0, 0x0004bdc0"
74,0x0004bdb8,0x0004bdbc,2,1056968706,5602052,8454,8452,4,"ld       0x00000010(r5), g0"
75,0x0004bdbc,0x0004bdd0,2,1056968706,5602053,8454,8452,4,"bbc      1, g0, 0x0004bdd0"
76,0x0004bdd0,0x0004bdd4,2,1056968706,5602054,8454,8452,4,"stis     r8, 0x00000002(r5)"
77,0x0004bdd4,0x0004bdd8,2,1056968706,5602055,8454,8452,4,"st       r9, 0x00000014(r5)"
78,0x0004bdd8,0x0004bddc,2,1056968706,5602056,8454,8452,4,"st       r10, 0x00000018(r5)"
79,0x0004bddc,0x0004bde0,2,1056968706,5602057,8454,8452,4,"cmpobe   0, r8, 0x0004bd24"
80,0x0004bde0,0x0004bde4,2,1056968706,5602058,8454,8452,4,"ld       0x00000010(r5), r7"
81,0x0004bde4,0x0004bde8,2,1056968706,5602059,8454,8452,4,"ldis     0x00000002(r5), r8"
82,0x0004bde8,0x0004bdec,2,1056968706,5602060,8454,8452,4,"ld       0x00000014(r5), r9"
83,0x0004bdec,0x0004bdf0,2,1056968706,5602061,8454,8452,4,"ld       0x00000018(r5), r10"
84,0x0004bdf0,0x0004bdf8,2,1056968706,5602062,8454,8452,4,"st       r7, 0x0055c2f4"
85,0x0004bdf8,0x0004bdfc,2,1056968706,5602063,8454,8452,4,"mov      1, r6"
86,0x0004bdfc,0x0004be00,2,1056968706,5602064,8454,8452,4,"bbs      3, r7, 0x0004be3c"
87,0x0004be00,0x0004be04,2,1056968706,5602065,8454,8452,4,"ld       (r9), g2"
88,0x0004be04,0x0004be08,2,1056968706,5602066,8454,8452,4,"xor      g2, r7, g8"
89,0x0004be08,0x0004be0c,2,1056968706,5602067,8454,8452,4,"and      g8, 1, g8"
90,0x0004be0c,0x0004be10,2,1056968706,5602068,8454,8452,4,"shlo     16, g2, g0"
91,0x0004be10,0x0004be14,2,1056968706,5602069,8454,8452,4,"shro     17, g0, g0"
92,0x0004be14,0x0004be1c,2,1056968706,5602070,8454,8452,4,"ldos     0x0004c120[g0*4], g6"
93,0x0004be1c,0x0004be24,2,1056968706,5602071,8454,8452,4,"ldos     0x0004c122[g0*4], g7"
94,0x0004be24,0x0004be28,2,1056968706,5602072,8454,8452,4,"shro     24, g2, g0"
95,0x0004be28,0x0004be2c,2,1056968706,5602073,8454,8452,4,"shlo     8, g2, g1"
96,0x0004be2c,0x0004be30,2,1056968706,5602074,8454,8452,4,"shro     24, g1, g1"
97,0x0004be30,0x0004be34,2,1056968706,5602075,8454,8452,4,"addo     g6, g0, g6"
98,0x0004be34,0x0004be38,2,1056968706,5602076,8454,8452,4,"addo     g7, g1, g7"
99,0x0004be38,0x0004be48,2,1056968706,5602077,8454,8452,4,"b        0x0004be48"
100,0x0004be48,0x0004be68,2,1056968706,5602078,8454,8452,4,"bbc      4, r7, 0x0004be68"
101,0x0004be68,0x0004d16c,3,1056968706,5602079,8455,8452,4,"call     0x0004d16c"
102,0x0004be6c,0x0004be70,2,1056968706,5602280,8455,8453,4,"ld       (r10), g3"
103,0x0004be70,0x0004be74,2,1056968706,5602281,8455,8453,4,"ld       (g3), r3"
104,0x0004be74,0x0004be78,2,1056968706,5602282,8455,8453,4,"addo     4, g3, g3"
105,0x0004be78,0x0004beb8,2,1056968706,5602283,8455,8453,4,"cmpobe   0, r3, 0x0004beb8"
106,0x0004beb8,0x0004c180,3,1056968706,5602284,8456,8453,4,"call     0x0004c180"
107,0x0004c180,0x0004c188,3,1056968706,5602285,8456,8453,4,"ld       0x00550080, g0"
108,0x0004bebc,0x0004bec4,2,1056968706,5673316,8459,8457,6,"ld       0x00550080, g0"
109,0x0004bec4,0x0004bef0,2,1056968706,5673317,8459,8457,6,"cmpobe   0, g0, 0x0004bef0"
110,0x0004bef0,0x0004cb64,3,1056968706,5673318,8460,8457,6,"call     0x0004cb64"
111,0x0004bef4,0x0004befc,2,1056968706,5741985,8461,8459,6,"ld       0x00550080, g0"
112,0x0004befc,0x0004bf28,2,1056968706,5741986,8461,8459,6,"cmpobe   0, g0, 0x0004bf28"
113,0x0004bf28,0x0004cd18,3,1056968706,5741987,8462,8459,6,"call     0x0004cd18"
114,0x0004bf2c,0x0004bf34,2,1056968706,5798369,8470,8468,6,"ld       0x00550080, g0"
115,0x0004bf34,0x0004bf60,2,1056968706,5798370,8470,8468,6,"cmpobe   0, g0, 0x0004bf60"
116,0x0004bf60,0x0004bf64,2,1056968706,5798371,8470,8468,6,"cmpdeco  1, r6, r6"
117,0x0004bf64,0x0004bf68,2,1056968706,5798372,8470,8468,6,"bl       0x0004bdfc"
118,0x0004bf68,0x0004bf6c,2,1056968706,5798373,8470,8468,6,"ldis     0x00000002(r5), g0"
119,0x0004bf6c,0x0004bf70,2,1056968706,5798374,8470,8468,6,"cmpibg   0, g0, 0x0004bf8c"
120,0x0004bf70,0x0004bf74,2,1056968706,5798375,8470,8468,6,"cmpibe   0, g0, 0x0004bf8c"
121,0x0004bf74,0x0004bf78,2,1056968706,5798376,8470,8468,6,"subo     1, r8, r8"
122,0x0004bf78,0x0004bf7c,2,1056968706,5798377,8470,8468,6,"addo     4, r9, r9"
123,0x0004bf7c,0x0004bf80,2,1056968706,5798378,8470,8468,6,"addo     4, r10, r10"
124,0x0004bf80,0x0004bf84,2,1056968706,5798379,8470,8468,6,"stis     r8, 0x00000002(r5)"
125,0x0004bf84,0x0004bf88,2,1056968706,5798380,8470,8468,6,"st       r9, 0x00000014(r5)"
126,0x0004bf88,0x0004bf8c,2,1056968706,5798381,8470,8468,6,"st       r10, 0x00000018(r5)"
127,0x0004bf8c,0x0004bd24,2,1056968706,5798382,8470,8468,6,"b        0x0004bd24"
128,0x0004bd24,0x0004bd2c,2,1056968706,5798383,8470,8468,6,"lda      0x00550168, r5"
129,0x0004bd2c,0x0004bd34,2,1056968706,5798384,8470,8468,6,"lda      0x005502a8, r6"
130,0x0004bd34,0x0004bd38,2,1056968706,5798385,8470,8468,6,"ldis     0x00000002(r5), r3"
131,0x0004bd38,0x0004bd48,2,1056968706,5798386,8470,8468,6,"cmpobne  0, r3, 0x0004bd48"
132,0x0004bd48,0x0004bd4c,2,1056968706,5798387,8470,8468,6,"ldos     (r5), g0"
